ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,lr,huber_loss_delta
ckpt_e1_s1000.safetensors,1,1000,58.442397,5.682952,3.989260,4.551494,0.00005000,37.776606
ckpt_e1_s2000.safetensors,1,2000,43.492817,4.946545,3.117854,4.743956,0.00005000,37.776606
ckpt_e1_s3000.safetensors,1,3000,37.338587,4.749361,2.885273,4.789422,0.00005000,37.776606
ckpt_e1_s4000.safetensors,1,4000,33.867073,4.367266,2.358494,4.893234,0.00005000,37.776606
ckpt_e1_s5000.safetensors,1,5000,31.515898,4.246751,2.230704,4.926677,0.00005000,37.776606
ckpt_e1_s6000.safetensors,1,6000,29.725039,3.868626,1.823051,4.987815,0.00005000,37.776606
ckpt_e1_s7000.safetensors,1,7000,28.368389,3.830738,1.808819,4.980502,0.00004999,37.776606
ckpt_e1_s8000.safetensors,1,8000,27.283592,3.709905,1.621260,5.024566,0.00004999,37.776606
ckpt_e1_s9000.safetensors,1,9000,26.446822,4.011528,1.978543,4.934852,0.00004999,37.776606
ckpt_e1_s10000.safetensors,1,10000,25.726913,3.677759,1.637628,5.005625,0.00004999,37.776606
ckpt_e1_s11000.safetensors,1,11000,25.140219,3.619869,1.552805,5.035337,0.00004998,37.776606
ckpt_e1_s12000.safetensors,1,12000,24.673852,3.850031,1.785907,4.974088,0.00004998,37.776606
ckpt_e1_s13000.safetensors,1,13000,24.200500,3.577675,1.552205,5.017453,0.00004998,37.776606
ckpt_e1_s14000.safetensors,1,14000,23.818138,3.754062,1.690903,4.977145,0.00004997,37.776606
ckpt_e1_s15000.safetensors,1,15000,23.473070,3.571481,1.472482,5.038857,0.00004997,37.776606
ckpt_e1_s16000.safetensors,1,16000,23.169257,3.537998,1.503343,5.032318,0.00004997,37.776606
ckpt_e1_s17000.safetensors,1,17000,22.897444,3.606363,1.554409,5.008704,0.00004996,37.776606
ckpt_e1_s18000.safetensors,1,18000,22.660194,3.553719,1.524981,5.020806,0.00004996,37.776606
ckpt_e1_s19000.safetensors,1,19000,22.451487,3.533997,1.459785,5.048371,0.00004995,37.776606
ckpt_e1_s20000.safetensors,1,20000,22.245174,3.500522,1.427450,5.035884,0.00004995,37.776606
ckpt_e1_s21000.safetensors,1,21000,22.042393,3.463897,1.390641,5.063033,0.00004994,37.776606
ckpt_e1_s22000.safetensors,1,22000,21.871800,3.447770,1.382837,5.047131,0.00004993,37.776606
ckpt_e1_s23000.safetensors,1,23000,21.729504,3.510515,1.443112,5.042638,0.00004993,37.776606
ckpt_e1_s24000.safetensors,1,24000,21.592794,3.467064,1.396793,5.056744,0.00004992,37.776606
ckpt_e1_s25000.safetensors,1,25000,21.452815,3.421937,1.359445,5.052062,0.00004991,37.776606
ckpt_e1_s26000.safetensors,1,26000,21.319240,3.453630,1.397745,5.046284,0.00004991,37.776606
ckpt_e1_s27000.safetensors,1,27000,21.191895,3.561062,1.503190,5.012125,0.00004990,37.776606
ckpt_e1_s28000.safetensors,1,28000,21.093202,3.445481,1.360932,5.054734,0.00004989,37.776606
ckpt_e1_s29000.safetensors,1,29000,20.989117,3.494394,1.362406,5.059181,0.00004988,37.776606
ckpt_e1_s30000.safetensors,1,30000,20.879901,3.521443,1.468863,5.022085,0.00004988,37.776606
ckpt_e1_s31000.safetensors,1,31000,20.787818,3.438085,1.352749,5.051272,0.00004987,37.776606
ckpt_e1_s32000.safetensors,1,32000,20.696244,3.453214,1.356685,5.050550,0.00004986,37.776606
ckpt_e1_s33000.safetensors,1,33000,20.616549,3.430871,1.336748,5.064013,0.00004985,37.776606
ckpt_e1_s34000.safetensors,1,34000,20.516966,3.419550,1.351060,5.052486,0.00004984,37.776606
ckpt_e1_s35000.safetensors,1,35000,20.455150,3.411134,1.351005,5.047147,0.00004983,37.776606
ckpt_e1_s36000.safetensors,1,36000,20.382966,3.445309,1.355581,5.048605,0.00004982,37.776606
ckpt_e1_s37000.safetensors,1,37000,20.310100,3.397199,1.325465,5.065608,0.00004981,37.776606
ckpt_e2_s38000.safetensors,2,38000,11.063501,3.414219,1.308947,5.065594,0.00004980,37.776606
ckpt_e2_s39000.safetensors,2,39000,11.060481,3.380449,1.267183,5.074864,0.00004979,37.776606
ckpt_e2_s40000.safetensors,2,40000,10.982261,3.362092,1.290246,5.059483,0.00004978,37.776606
ckpt_e2_s41000.safetensors,2,41000,10.979406,3.394387,1.300598,5.051188,0.00004977,37.776606
ckpt_e2_s42000.safetensors,2,42000,10.913726,3.379291,1.297527,5.055166,0.00004976,37.776606
ckpt_e2_s43000.safetensors,2,43000,10.931605,3.439899,1.327685,5.051033,0.00004974,37.776606
ckpt_e2_s44000.safetensors,2,44000,10.916002,3.331000,1.219323,5.082994,0.00004973,37.776606
ckpt_e2_s45000.safetensors,2,45000,10.870746,3.395209,1.293880,5.060291,0.00004972,37.776606
ckpt_e2_s46000.safetensors,2,46000,10.878300,3.313529,1.243945,5.063241,0.00004971,37.776606
ckpt_e2_s47000.safetensors,2,47000,10.858210,3.336488,1.251925,5.068484,0.00004969,37.776606
ckpt_e2_s48000.safetensors,2,48000,10.863776,3.458343,1.368398,5.024522,0.00004968,37.776606
ckpt_e2_s49000.safetensors,2,49000,10.803248,3.399841,1.283916,5.074080,0.00004967,37.776606
ckpt_e2_s50000.safetensors,2,50000,10.789565,3.378162,1.285198,5.054997,0.00004965,37.776606
ckpt_e2_s51000.safetensors,2,51000,10.796127,3.333865,1.234426,5.076548,0.00004964,37.776606
ckpt_e2_s52000.safetensors,2,52000,10.776174,3.325012,1.224021,5.076612,0.00004962,37.776606
ckpt_e2_s53000.safetensors,2,53000,10.768294,3.307367,1.212629,5.080189,0.00004961,37.776606
ckpt_e2_s54000.safetensors,2,54000,10.771907,3.397538,1.298874,5.051098,0.00004959,37.776606
ckpt_e2_s55000.safetensors,2,55000,10.768612,3.352911,1.279415,5.051277,0.00004958,37.776606
ckpt_e2_s56000.safetensors,2,56000,10.743165,3.367355,1.251543,5.068838,0.00004956,37.776606
ckpt_e2_s57000.safetensors,2,57000,10.732033,3.340556,1.243317,5.075136,0.00004955,37.776606
ckpt_e2_s58000.safetensors,2,58000,10.717114,3.350835,1.261741,5.067101,0.00004953,37.776606
ckpt_e2_s59000.safetensors,2,59000,10.710366,3.334775,1.245839,5.068594,0.00004952,37.776606
ckpt_e2_s60000.safetensors,2,60000,10.696443,3.277890,1.185865,5.077605,0.00004950,37.776606
ckpt_e2_s61000.safetensors,2,61000,10.679320,3.357377,1.252646,5.066260,0.00004948,37.776606
ckpt_e2_s62000.safetensors,2,62000,10.669324,3.361566,1.260148,5.054588,0.00004947,37.776606
ckpt_e2_s63000.safetensors,2,63000,10.674921,3.305054,1.225885,5.067692,0.00004945,37.776606
ckpt_e2_s64000.safetensors,2,64000,10.667085,3.341220,1.256702,5.060056,0.00004943,37.776606
ckpt_e2_s65000.safetensors,2,65000,10.644107,3.334840,1.239456,5.072091,0.00004941,37.776606
ckpt_e2_s66000.safetensors,2,66000,10.635506,3.400982,1.298911,5.051236,0.00004939,37.776606
ckpt_e2_s67000.safetensors,2,67000,10.629420,3.296152,1.197413,5.083150,0.00004938,37.776606
ckpt_e2_s68000.safetensors,2,68000,10.614853,3.300387,1.189715,5.088840,0.00004936,37.776606
ckpt_e2_s69000.safetensors,2,69000,10.611985,3.284184,1.206717,5.077997,0.00004934,37.776606
ckpt_e2_s70000.safetensors,2,70000,10.606298,3.329033,1.212237,5.077803,0.00004932,37.776606
ckpt_e2_s71000.safetensors,2,71000,10.597327,3.295085,1.183900,5.080297,0.00004930,37.776606
ckpt_e2_s72000.safetensors,2,72000,10.586179,3.241389,1.164270,5.079243,0.00004928,37.776606
ckpt_e2_s73000.safetensors,2,73000,10.568912,3.354468,1.267206,5.044447,0.00004926,37.776606
ckpt_e2_s74000.safetensors,2,74000,10.573034,3.344517,1.234353,5.064671,0.00004924,37.776606
ckpt_e3_s75000.safetensors,3,75000,14.960738,3.336376,1.300212,5.027002,0.00004922,37.776606
ckpt_e3_s76000.safetensors,3,76000,14.914848,3.302367,1.253948,5.034570,0.00004920,37.776606
ckpt_e3_s77000.safetensors,3,77000,14.868442,3.285676,1.218974,5.053893,0.00004918,37.776606
ckpt_e3_s78000.safetensors,3,78000,14.815257,3.309389,1.234852,5.055695,0.00004915,37.776606
ckpt_e3_s79000.safetensors,3,79000,14.727401,3.220209,1.160933,5.060301,0.00004913,37.776606
ckpt_e3_s80000.safetensors,3,80000,14.762573,3.238274,1.167815,5.059275,0.00004911,37.776606
ckpt_e3_s81000.safetensors,3,81000,14.709212,3.390475,1.335520,5.017670,0.00004909,37.776606
ckpt_e3_s82000.safetensors,3,82000,14.676101,3.262446,1.215058,5.041431,0.00004907,37.776606
ckpt_e3_s83000.safetensors,3,83000,14.677495,3.278207,1.206640,5.046156,0.00004904,37.776606
ckpt_e3_s84000.safetensors,3,84000,14.676349,3.296426,1.232763,5.046209,0.00004902,37.776606
ckpt_e3_s85000.safetensors,3,85000,14.656793,3.309764,1.232176,5.050540,0.00004900,37.776606
ckpt_e3_s86000.safetensors,3,86000,14.647267,3.260828,1.169525,5.061257,0.00004897,37.776606
ckpt_e3_s87000.safetensors,3,87000,14.635810,3.241739,1.152989,5.082533,0.00004895,37.776606
ckpt_e3_s88000.safetensors,3,88000,14.616339,3.295379,1.210192,5.060325,0.00004892,37.776606
ckpt_e3_s89000.safetensors,3,89000,14.606905,3.311740,1.238191,5.042914,0.00004890,37.776606
ckpt_e3_s90000.safetensors,3,90000,14.602227,3.215661,1.142871,5.069126,0.00004888,37.776606
ckpt_e3_s91000.safetensors,3,91000,14.567272,3.322116,1.270259,5.042856,0.00004885,37.776606
ckpt_e3_s92000.safetensors,3,92000,14.555592,3.291052,1.233770,5.044607,0.00004883,37.776606
ckpt_e3_s93000.safetensors,3,93000,14.547789,3.244819,1.181265,5.060090,0.00004880,37.776606
ckpt_e3_s94000.safetensors,3,94000,14.531490,3.247697,1.187670,5.049265,0.00004877,37.776606
ckpt_e3_s95000.safetensors,3,95000,14.541205,3.239737,1.163237,5.062564,0.00004875,37.776606
ckpt_e3_s96000.safetensors,3,96000,14.524138,3.204855,1.109222,5.079965,0.00004872,37.776606
ckpt_e3_s97000.safetensors,3,97000,14.520842,3.212682,1.158313,5.060933,0.00004870,37.776606
ckpt_e3_s98000.safetensors,3,98000,14.502000,3.218290,1.160977,5.060282,0.00004867,37.776606
ckpt_e3_s99000.safetensors,3,99000,14.495222,3.303782,1.226498,5.045367,0.00004864,37.776606
ckpt_e3_s100000.safetensors,3,100000,14.481310,3.230248,1.158990,5.060787,0.00004861,37.776606
ckpt_e3_s101000.safetensors,3,101000,14.467344,3.247180,1.181126,5.052321,0.00004859,37.776606
ckpt_e3_s102000.safetensors,3,102000,14.472105,3.226813,1.165461,5.061531,0.00004856,37.776606
ckpt_e3_s103000.safetensors,3,103000,14.469493,3.233396,1.156604,5.058497,0.00004853,37.776606
ckpt_e3_s104000.safetensors,3,104000,14.461676,3.229150,1.165195,5.059169,0.00004850,37.776606
ckpt_e3_s105000.safetensors,3,105000,14.457680,3.246135,1.198828,5.046818,0.00004847,37.776606
ckpt_e3_s106000.safetensors,3,106000,14.443807,3.277578,1.252936,5.039619,0.00004844,37.776606
ckpt_e3_s107000.safetensors,3,107000,14.434941,3.211002,1.134626,5.079615,0.00004841,37.776606
ckpt_e3_s108000.safetensors,3,108000,14.423965,3.206260,1.124878,5.074711,0.00004839,37.776606
ckpt_e3_s109000.safetensors,3,109000,14.420564,3.212353,1.133239,5.079088,0.00004836,37.776606
ckpt_e3_s110000.safetensors,3,110000,14.417122,3.216653,1.163120,5.063522,0.00004833,37.776606
ckpt_e3_s111000.safetensors,3,111000,14.405053,3.228455,1.154116,5.072677,0.00004830,37.776606
ckpt_e4_s112000.safetensors,4,112000,12.229688,3.254269,1.146730,5.068048,0.00004826,37.776606
ckpt_e4_s113000.safetensors,4,113000,12.583720,3.189439,1.136270,5.065445,0.00004823,37.776606
ckpt_e4_s114000.safetensors,4,114000,12.282513,3.215856,1.140470,5.064940,0.00004820,37.776606
ckpt_e4_s115000.safetensors,4,115000,12.295427,3.259793,1.189568,5.045235,0.00004817,37.776606
ckpt_e4_s116000.safetensors,4,116000,12.315383,3.201358,1.115825,5.070737,0.00004814,37.776606
ckpt_e4_s117000.safetensors,4,117000,12.262419,3.238205,1.168497,5.040695,0.00004811,37.776606
ckpt_e4_s118000.safetensors,4,118000,12.219210,3.171940,1.098860,5.067357,0.00004808,37.776606
ckpt_e4_s119000.safetensors,4,119000,12.215110,3.228608,1.126822,5.056220,0.00004804,37.776606
ckpt_e4_s120000.safetensors,4,120000,12.211794,3.177818,1.099991,5.068317,0.00004801,37.776606
ckpt_e4_s121000.safetensors,4,121000,12.199187,3.207876,1.115194,5.056354,0.00004798,37.776606
ckpt_e4_s122000.safetensors,4,122000,12.185743,3.174591,1.096562,5.065369,0.00004795,37.776606
ckpt_e4_s123000.safetensors,4,123000,12.159656,3.178661,1.095380,5.070012,0.00004791,37.776606
ckpt_e4_s124000.safetensors,4,124000,12.135570,3.198328,1.131560,5.065357,0.00004788,37.776606
ckpt_e4_s125000.safetensors,4,125000,12.164218,3.245517,1.161829,5.064005,0.00004784,37.776606
ckpt_e4_s126000.safetensors,4,126000,12.170429,3.169033,1.117081,5.060005,0.00004781,37.776606
ckpt_e4_s127000.safetensors,4,127000,12.137025,3.313617,1.222495,5.048383,0.00004778,37.776606
ckpt_e5_s128000.safetensors,5,128000,17.181086,3.262044,1.230987,5.028793,0.00004774,37.776606
ckpt_e5_s129000.safetensors,5,129000,17.301256,3.160226,1.121358,5.056632,0.00004771,37.776606
ckpt_e5_s130000.safetensors,5,130000,17.110207,3.166417,1.106776,5.070355,0.00004767,37.776606
ckpt_e5_s131000.safetensors,5,131000,17.056565,3.234654,1.161887,5.043206,0.00004764,37.776606
ckpt_e5_s132000.safetensors,5,132000,17.127798,3.170397,1.105880,5.058107,0.00004760,37.776606
ckpt_e5_s133000.safetensors,5,133000,17.085661,3.209641,1.140826,5.057247,0.00004756,37.776606
ckpt_e5_s134000.safetensors,5,134000,17.065289,3.166078,1.088279,5.057544,0.00004753,37.776606
ckpt_e5_s135000.safetensors,5,135000,17.067548,3.144845,1.091340,5.060771,0.00004749,37.776606
ckpt_e5_s136000.safetensors,5,136000,17.020155,3.202718,1.129984,5.052499,0.00004745,37.776606
ckpt_e5_s137000.safetensors,5,137000,16.980360,3.151993,1.080945,5.066245,0.00004742,37.776606
ckpt_e5_s138000.safetensors,5,138000,16.961416,3.191439,1.115948,5.049658,0.00004738,37.776606
ckpt_e5_s139000.safetensors,5,139000,16.968503,3.180475,1.129586,5.042197,0.00004734,37.776606
ckpt_e5_s140000.safetensors,5,140000,16.949691,3.162169,1.093449,5.062819,0.00004731,37.776606
ckpt_e5_s141000.safetensors,5,141000,16.934821,3.186058,1.127213,5.053159,0.00004727,37.776606
ckpt_e5_s142000.safetensors,5,142000,16.892093,3.195164,1.140829,5.054441,0.00004723,37.776606
ckpt_e5_s143000.safetensors,5,143000,16.892632,3.184518,1.126306,5.049292,0.00004719,37.776606
ckpt_e5_s144000.safetensors,5,144000,16.873691,3.139642,1.090115,5.055264,0.00004715,37.776606
ckpt_e5_s145000.safetensors,5,145000,16.847489,3.190213,1.134014,5.050509,0.00004711,37.776606
ckpt_e5_s146000.safetensors,5,146000,16.850706,3.202423,1.131170,5.054935,0.00004707,37.776606
ckpt_e5_s147000.safetensors,5,147000,16.852248,3.188685,1.128922,5.040909,0.00004704,37.776606
ckpt_e5_s148000.safetensors,5,148000,16.849694,3.176140,1.112127,5.055252,0.00004700,37.776606
ckpt_e5_s149000.safetensors,5,149000,16.793688,3.236763,1.171660,5.042686,0.00004696,37.776606
ckpt_e5_s150000.safetensors,5,150000,16.831438,3.251298,1.165532,5.049639,0.00004692,37.776606
ckpt_e5_s151000.safetensors,5,151000,16.793296,3.293278,1.247237,5.010531,0.00004688,37.776606
ckpt_e5_s152000.safetensors,5,152000,16.804138,3.217878,1.151846,5.041178,0.00004683,37.776606
ckpt_e5_s153000.safetensors,5,153000,16.793776,3.157128,1.094113,5.056338,0.00004679,37.776606
ckpt_e5_s154000.safetensors,5,154000,16.787447,3.150630,1.072360,5.072291,0.00004675,37.776606
ckpt_e5_s155000.safetensors,5,155000,16.779660,3.186574,1.133025,5.047303,0.00004671,37.776606
ckpt_e5_s156000.safetensors,5,156000,16.757299,3.195324,1.152691,5.042739,0.00004667,37.776606
ckpt_e5_s157000.safetensors,5,157000,16.757724,3.173393,1.109145,5.046129,0.00004663,37.776606
ckpt_e5_s158000.safetensors,5,158000,16.737562,3.186843,1.107774,5.057708,0.00004659,37.776606
ckpt_e5_s159000.safetensors,5,159000,16.730907,3.220730,1.177155,5.031571,0.00004654,37.776606
ckpt_e5_s160000.safetensors,5,160000,16.729798,3.204696,1.143061,5.030430,0.00004650,37.776606
ckpt_e5_s161000.safetensors,5,161000,16.716396,3.154684,1.086444,5.056653,0.00004646,37.776606
ckpt_e5_s162000.safetensors,5,162000,16.714646,3.248918,1.218220,5.015684,0.00004642,37.776606
ckpt_e5_s163000.safetensors,5,163000,16.697816,3.173228,1.104775,5.052566,0.00004637,37.776606
ckpt_e5_s164000.safetensors,5,164000,16.690786,3.193522,1.147302,5.046999,0.00004633,37.776606
ckpt_e6_s165000.safetensors,6,165000,15.213029,3.099130,1.055458,5.053411,0.00004628,37.776606
ckpt_e6_s166000.safetensors,6,166000,14.813632,3.115939,1.080849,5.049284,0.00004624,37.776606
ckpt_e6_s167000.safetensors,6,167000,14.698409,3.087430,1.060673,5.043288,0.00004620,37.776606
ckpt_e6_s168000.safetensors,6,168000,14.807020,3.134634,1.094421,5.032162,0.00004615,37.776606
ckpt_e6_s169000.safetensors,6,169000,14.793612,3.083082,1.052689,5.048126,0.00004611,37.776606
ckpt_e6_s170000.safetensors,6,170000,14.694186,3.093991,1.066130,5.041225,0.00004606,37.776606
ckpt_e6_s171000.safetensors,6,171000,14.702726,3.122162,1.083966,5.044706,0.00004602,37.776606
ckpt_e6_s172000.safetensors,6,172000,14.639198,3.065942,1.020007,5.060489,0.00004597,37.776606
ckpt_e6_s173000.safetensors,6,173000,14.606265,3.082824,1.046640,5.050152,0.00004593,37.776606
ckpt_e6_s174000.safetensors,6,174000,14.611033,3.114801,1.065822,5.047553,0.00004588,37.776606
ckpt_e6_s175000.safetensors,6,175000,14.641503,3.073155,1.038360,5.055660,0.00004583,37.776606
ckpt_e6_s176000.safetensors,6,176000,14.600528,3.050007,1.040423,5.050769,0.00004579,37.776606
ckpt_e6_s177000.safetensors,6,177000,14.585885,3.071625,1.041992,5.052756,0.00004574,37.776606
ckpt_e6_s178000.safetensors,6,178000,14.572753,3.075653,1.036801,5.058602,0.00004570,37.776606
ckpt_e6_s179000.safetensors,6,179000,14.546718,3.055196,1.013073,5.062065,0.00004565,37.776606
ckpt_e6_s180000.safetensors,6,180000,14.515652,3.069847,1.059181,5.040292,0.00004560,37.776606
ckpt_e6_s181000.safetensors,6,181000,14.531625,3.155105,1.132605,5.032895,0.00004555,37.776606
ckpt_e6_s182000.safetensors,6,182000,14.507849,3.048279,1.015799,5.065922,0.00004551,37.776606
ckpt_e6_s183000.safetensors,6,183000,14.491941,3.047702,1.017815,5.058990,0.00004546,37.776606
ckpt_e6_s184000.safetensors,6,184000,14.482382,3.143400,1.117803,5.026057,0.00004541,37.776606
ckpt_e6_s185000.safetensors,6,185000,14.458431,3.081052,1.045563,5.047703,0.00004536,37.776606
ckpt_e6_s186000.safetensors,6,186000,14.443747,3.075732,1.029410,5.055929,0.00004531,37.776606
ckpt_e6_s187000.safetensors,6,187000,14.443826,3.085006,1.042327,5.061168,0.00004526,37.776606
ckpt_e6_s188000.safetensors,6,188000,14.428243,3.056566,1.015608,5.059323,0.00004522,37.776606
ckpt_e6_s189000.safetensors,6,189000,14.400860,3.094102,1.071640,5.038043,0.00004517,37.776606
ckpt_e6_s190000.safetensors,6,190000,14.403353,3.066529,1.047573,5.047587,0.00004512,37.776606
ckpt_e6_s191000.safetensors,6,191000,14.387627,3.073560,1.039636,5.048773,0.00004507,37.776606
ckpt_e6_s192000.safetensors,6,192000,14.382051,3.049262,1.012409,5.067883,0.00004502,37.776606
ckpt_e6_s193000.safetensors,6,193000,14.379186,3.119211,1.076569,5.044271,0.00004497,37.776606
ckpt_e6_s194000.safetensors,6,194000,14.361407,3.077828,1.042190,5.058970,0.00004492,37.776606
ckpt_e6_s195000.safetensors,6,195000,14.361763,3.058975,1.022864,5.064599,0.00004487,37.776606
ckpt_e6_s196000.safetensors,6,196000,14.341335,3.099350,1.059733,5.048634,0.00004482,37.776606
ckpt_e6_s197000.safetensors,6,197000,14.320619,3.067749,1.026028,5.063676,0.00004476,37.776606
ckpt_e6_s198000.safetensors,6,198000,14.316932,3.085560,1.044557,5.070123,0.00004471,37.776606
ckpt_e6_s199000.safetensors,6,199000,14.305694,3.050608,1.014107,5.064008,0.00004466,37.776606
ckpt_e6_s200000.safetensors,6,200000,14.301479,3.071398,1.039420,5.066579,0.00004461,37.776606
ckpt_e6_s201000.safetensors,6,201000,14.281998,3.025087,0.990617,5.074645,0.00004456,37.776606
ckpt_e7_s202000.safetensors,7,202000,13.002289,3.126036,1.131780,5.016860,0.00004451,37.776606
ckpt_e7_s203000.safetensors,7,203000,12.970225,3.038306,1.000076,5.047563,0.00004445,37.776606
ckpt_e7_s204000.safetensors,7,204000,12.882185,2.999231,0.975675,5.048378,0.00004440,37.776606
ckpt_e7_s205000.safetensors,7,205000,12.796062,3.032127,1.026689,5.030611,0.00004435,37.776606
ckpt_e7_s206000.safetensors,7,206000,12.792461,3.000434,0.981196,5.044254,0.00004430,37.776606
ckpt_e7_s207000.safetensors,7,207000,12.795356,3.047513,1.010423,5.036689,0.00004424,37.776606
ckpt_e7_s208000.safetensors,7,208000,12.800218,3.011774,0.983852,5.035565,0.00004419,37.776606
ckpt_e7_s209000.safetensors,7,209000,12.804791,3.080709,1.101676,5.006227,0.00004414,37.776606
ckpt_e7_s210000.safetensors,7,210000,12.753834,3.012817,0.990332,5.034664,0.00004408,37.776606
ckpt_e7_s211000.safetensors,7,211000,12.749141,2.992756,0.960090,5.050534,0.00004403,37.776606
ckpt_e7_s212000.safetensors,7,212000,12.727639,3.057093,1.043144,5.019525,0.00004398,37.776606
ckpt_e7_s213000.safetensors,7,213000,12.730885,2.962040,0.919022,5.057797,0.00004392,37.776606
ckpt_e7_s214000.safetensors,7,214000,12.694513,3.012547,0.987782,5.037950,0.00004387,37.776606
ckpt_e7_s215000.safetensors,7,215000,12.682210,3.066151,1.039209,5.025823,0.00004381,37.776606
ckpt_e7_s216000.safetensors,7,216000,12.651107,2.951794,0.900809,5.060230,0.00004376,37.776606
ckpt_e7_s217000.safetensors,7,217000,12.661245,2.958976,0.924216,5.050375,0.00004370,37.776606
ckpt_e7_s218000.safetensors,7,218000,12.617093,2.940821,0.888747,5.061344,0.00004365,37.776606
ckpt_e7_s219000.safetensors,7,219000,12.616372,3.045267,1.034128,5.042495,0.00004359,37.776606
ckpt_e7_s220000.safetensors,7,220000,12.599890,3.044399,1.010077,5.034612,0.00004353,37.776606
ckpt_e7_s221000.safetensors,7,221000,12.580381,2.974408,0.930488,5.059805,0.00004348,37.776606
ckpt_e7_s222000.safetensors,7,222000,12.576012,2.986877,0.950533,5.062550,0.00004342,37.776606
ckpt_e7_s223000.safetensors,7,223000,12.545651,2.954623,0.915620,5.061025,0.00004337,37.776606
ckpt_e7_s224000.safetensors,7,224000,12.539432,2.973135,0.935454,5.051052,0.00004331,37.776606
ckpt_e7_s225000.safetensors,7,225000,12.525804,3.000517,0.972708,5.030646,0.00004325,37.776606
ckpt_e7_s226000.safetensors,7,226000,12.508215,3.008455,0.998209,5.028647,0.00004320,37.776606
ckpt_e7_s227000.safetensors,7,227000,12.480071,2.935235,0.905397,5.050525,0.00004314,37.776606
ckpt_e7_s228000.safetensors,7,228000,12.489443,3.014045,0.985534,5.031800,0.00004308,37.776606
ckpt_e7_s229000.safetensors,7,229000,12.472130,2.959737,0.942613,5.048925,0.00004302,37.776606
ckpt_e7_s230000.safetensors,7,230000,12.456735,3.076100,1.079117,5.013872,0.00004297,37.776606
ckpt_e7_s231000.safetensors,7,231000,12.441717,2.986266,0.942698,5.046107,0.00004291,37.776606
ckpt_e7_s232000.safetensors,7,232000,12.435552,2.968999,0.948607,5.040651,0.00004285,37.776606
ckpt_e7_s233000.safetensors,7,233000,12.401476,2.927857,0.904493,5.043945,0.00004279,37.776606
ckpt_e7_s234000.safetensors,7,234000,12.391618,2.946601,0.910556,5.052497,0.00004273,37.776606
ckpt_e7_s235000.safetensors,7,235000,12.384963,2.934817,0.912207,5.036344,0.00004267,37.776606
ckpt_e7_s236000.safetensors,7,236000,12.365829,2.954486,0.910450,5.057598,0.00004262,37.776606
ckpt_e7_s237000.safetensors,7,237000,12.351504,2.928380,0.888653,5.048741,0.00004256,37.776606
ckpt_e7_s238000.safetensors,7,238000,12.337893,2.960213,0.922043,5.042408,0.00004250,37.776606
ckpt_e8_s239000.safetensors,8,239000,10.869181,2.952764,0.940125,5.017241,0.00004244,37.776606
ckpt_e8_s240000.safetensors,8,240000,10.803901,2.916246,0.888267,5.032209,0.00004238,37.776606
ckpt_e8_s241000.safetensors,8,241000,10.837944,2.926826,0.891957,5.036575,0.00004232,37.776606
ckpt_e8_s242000.safetensors,8,242000,10.709207,2.955225,0.937434,5.018967,0.00004226,37.776606
ckpt_e8_s243000.safetensors,8,243000,10.634148,2.926795,0.898667,5.029627,0.00004220,37.776606
ckpt_e8_s244000.safetensors,8,244000,10.536093,2.911734,0.877802,5.039505,0.00004214,37.776606
ckpt_e8_s245000.safetensors,8,245000,10.579011,2.902309,0.882301,5.030144,0.00004208,37.776606
ckpt_e8_s246000.safetensors,8,246000,10.530130,2.942839,0.914504,5.021099,0.00004202,37.776606
ckpt_e8_s247000.safetensors,8,247000,10.525964,2.882853,0.832532,5.051337,0.00004196,37.776606
ckpt_e8_s248000.safetensors,8,248000,10.449497,2.919670,0.903776,5.023047,0.00004189,37.776606
ckpt_e8_s249000.safetensors,8,249000,10.453332,2.909344,0.872772,5.032159,0.00004183,37.776606
ckpt_e8_s250000.safetensors,8,250000,10.416099,2.994618,0.993995,5.001890,0.00004177,37.776606
ckpt_e8_s251000.safetensors,8,251000,10.418455,2.975953,0.957068,5.015973,0.00004171,37.776606
ckpt_e8_s252000.safetensors,8,252000,10.390839,2.879675,0.844727,5.042492,0.00004165,37.776606
ckpt_e8_s253000.safetensors,8,253000,10.351130,2.916551,0.885667,5.029150,0.00004159,37.776606
ckpt_e8_s254000.safetensors,8,254000,10.344649,2.932966,0.904857,5.023342,0.00004152,37.776606
ckpt_e8_s255000.safetensors,8,255000,10.322104,2.949263,0.931030,5.015485,0.00004146,37.776606
ckpt_e8_s256000.safetensors,8,256000,10.303554,2.913034,0.879799,5.033964,0.00004140,37.776606
ckpt_e8_s257000.safetensors,8,257000,10.298695,2.898133,0.856942,5.038557,0.00004134,37.776606
ckpt_e8_s258000.safetensors,8,258000,10.288294,2.951970,0.935112,5.028791,0.00004127,37.776606
ckpt_e8_s259000.safetensors,8,259000,10.270101,2.885953,0.838558,5.047488,0.00004121,37.776606
ckpt_e8_s260000.safetensors,8,260000,10.249256,2.872349,0.835466,5.046083,0.00004115,37.776606
ckpt_e8_s261000.safetensors,8,261000,10.232349,2.907519,0.901392,5.025169,0.00004108,37.776606
ckpt_e8_s262000.safetensors,8,262000,10.216861,2.892433,0.859949,5.042912,0.00004102,37.776606
ckpt_e8_s263000.safetensors,8,263000,10.203370,2.910588,0.867942,5.046174,0.00004096,37.776606
